Name,ID,Team,gamesPlayed,groundOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,atBatsPerHomeRun,atBatsPerHomeRun_p7G,avg_p7G,hits_p7G,obp_p7G,ops_p7G,slg_p7G,atBatsPerHomeRun_p15G,avg_p15G,hits_p15G,obp_p15G,ops_p15G,slg_p15G,avg_p5G,era_p5G,groundOutsToAirouts_p5G,hitsPer9Inn_p5G,homeRunsPer9_p5G,inningsPitched_p5G,pitchesPerInning_p5G,runsScoredPer9_p5G,stolenBasePercentage_p5G,strikePercentage_p5G,strikeoutWalkRatio_p5G,strikeoutsPer9Inn_p5G,walksPer9Inn_p5G,whip_p5G,winPercentage_p5G,atBats_h2h,avg_h2h,hits_h2h,obp_h2h,ops_h2h,slg_h2h,pitcher_hitter_opposite_hand,player_got_hit
Adam Eaton,594809,120,128.0,117.0,90.0,21.0,7.0,12.0,87.0,59.0,0.0,139.0,11.0,0.288,483.0,0.376,0.435,0.811,3.0,13.0,0.813,7.0,2297.0,563.0,210.0,42.0,170.0,7.0,3.0,0.328,0.78,40.25,15.0,0.2,3.0,0.333,0.733,0.4,9.6,0.333,16.0,0.458,1.229,0.771,0.327,5.0,1.06,12.0,1.0,27.0,18.11,5.33,1.0,0.63,1.17,4.67,4.0,1.78,0.5,22.0,0.455,10.0,0.556,1.101,0.545,1.0,False
Adrian Sanchez,506703,120,26.0,8.0,2.0,0.0,0.0,0.0,9.0,1.0,0.0,7.0,0.0,0.241,29.0,0.267,0.241,0.508,0.0,0.0,0.0,0.0,122.0,30.0,7.0,1.0,10.0,0.0,0.0,0.35,1.6,0.0,0.0,0.429,3.0,0.5,0.929,0.429,0.0,0.188,3.0,0.235,0.423,0.188,0.327,5.0,1.06,12.0,1.0,27.0,18.11,5.33,1.0,0.63,1.17,4.67,4.0,1.78,0.5,1.0,1.0,1.0,1.0,2.0,1.0,0.0,False
Andrew Stevenson,664057,120,22.0,3.0,4.0,1.0,0.0,0.0,7.0,5.0,0.0,8.0,1.0,0.364,22.0,0.5,0.409,0.909,0.0,0.0,0.0,1.0,142.0,28.0,9.0,0.0,4.0,0.0,0.0,0.533,0.75,0.0,0.0,0.4,2.0,0.571,0.971,0.4,0.0,0.4,6.0,0.526,0.993,0.467,0.327,5.0,1.06,12.0,1.0,27.0,18.11,5.33,1.0,0.63,1.17,4.67,4.0,1.78,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False
Anthony Rendon,543685,120,124.0,99.0,105.0,39.0,3.0,32.0,74.0,57.0,7.0,160.0,12.0,0.338,473.0,0.417,0.636,1.053,1.0,3.0,0.75,12.0,2196.0,549.0,301.0,114.0,197.0,0.0,7.0,0.342,0.67,14.78,9.0,0.519,14.0,0.581,1.581,1.0,11.6,0.483,28.0,0.557,1.419,0.862,0.327,5.0,1.06,12.0,1.0,27.0,18.11,5.33,1.0,0.63,1.17,4.67,4.0,1.78,0.5,40.0,0.3,12.0,0.417,0.717,0.3,0.0,True
Asdrubal Cabrera,452678,120,113.0,88.0,58.0,22.0,0.0,15.0,97.0,48.0,2.0,98.0,3.0,0.251,391.0,0.333,0.422,0.755,0.0,4.0,1.0,8.0,1842.0,447.0,165.0,74.0,183.0,0.0,5.0,0.292,0.78,26.07,28.0,0.321,9.0,0.387,0.887,0.5,17.33,0.327,17.0,0.419,1.015,0.596,0.327,5.0,1.06,12.0,1.0,27.0,18.11,5.33,1.0,0.63,1.17,4.67,4.0,1.78,0.5,14.0,0.071,1.0,0.235,0.306,0.071,1.0,True
Brian Dozier,572821,120,123.0,78.0,49.0,19.0,0.0,19.0,100.0,57.0,2.0,91.0,4.0,0.236,386.0,0.339,0.433,0.772,4.0,3.0,0.429,9.0,1901.0,448.0,167.0,45.0,166.0,0.0,1.0,0.269,0.66,20.32,0.0,0.263,5.0,0.417,0.68,0.263,11.33,0.265,9.0,0.405,0.934,0.529,0.327,5.0,1.06,12.0,1.0,27.0,18.11,5.33,1.0,0.63,1.17,4.67,4.0,1.78,0.5,8.0,0.125,1.0,0.125,0.625,0.5,0.0,False
Gerardo Parra,467827,120,106.0,80.0,35.0,12.0,1.0,7.0,55.0,17.0,2.0,56.0,5.0,0.221,253.0,0.283,0.36,0.642,3.0,8.0,0.727,7.0,998.0,277.0,91.0,37.0,101.0,1.0,1.0,0.255,1.25,36.14,0.0,0.074,2.0,0.107,0.181,0.074,0.0,0.079,3.0,0.125,0.23,0.105,0.327,5.0,1.06,12.0,1.0,27.0,18.11,5.33,1.0,0.63,1.17,4.67,4.0,1.78,0.5,20.0,0.5,10.0,0.524,1.224,0.7,1.0,True
Howie Kendrick,435062,120,102.0,82.0,50.0,22.0,0.0,14.0,44.0,23.0,1.0,92.0,3.0,0.33,279.0,0.381,0.559,0.94,1.0,2.0,0.667,9.0,1145.0,310.0,156.0,56.0,114.0,0.0,5.0,0.345,1.24,19.93,0.0,0.4,4.0,0.4,0.9,0.5,16.0,0.438,14.0,0.5,1.313,0.813,0.327,5.0,1.06,12.0,1.0,27.0,18.11,5.33,1.0,0.63,1.17,4.67,4.0,1.78,0.5,10.0,0.2,2.0,0.25,0.55,0.3,0.0,True
Juan Soto,665742,120,127.0,112.0,97.0,27.0,5.0,32.0,110.0,85.0,2.0,141.0,3.0,0.299,472.0,0.406,0.581,0.987,1.0,12.0,0.923,9.0,2359.0,564.0,274.0,98.0,221.0,0.0,4.0,0.326,0.99,14.75,9.33,0.464,13.0,0.5,1.571,1.071,15.0,0.383,23.0,0.464,1.231,0.767,0.327,5.0,1.06,12.0,1.0,27.0,18.11,5.33,1.0,0.63,1.17,4.67,4.0,1.78,0.5,18.0,0.222,4.0,0.364,0.753,0.389,1.0,True
Kurt Suzuki,435559,120,79.0,73.0,34.0,10.0,0.0,16.0,35.0,19.0,1.0,71.0,6.0,0.263,270.0,0.322,0.478,0.8,1.0,0.0,0.0,10.0,1015.0,298.0,129.0,58.0,127.0,0.0,3.0,0.248,0.78,16.88,9.67,0.207,6.0,0.281,0.833,0.552,13.0,0.277,18.0,0.319,0.873,0.554,0.327,5.0,1.06,12.0,1.0,27.0,18.11,5.33,1.0,0.63,1.17,4.67,4.0,1.78,0.5,10.0,0.4,4.0,0.455,0.955,0.5,0.0,False
